NUM
2
3
4
6
19
40
4
6
7
11
18
24
11
16
26
27
33
39
4
6
11
26
32
39
2
3
28
32
35
42
2
5
6
22
28
41
6
7
9
10
25
33
1
5
11
19
28
30
12
13
16
17
22
35
7
15
18
32
34
40
5
6
10
11
13
17
2
9
27
35
37
38
1
11
24
25
26
40
5
12
16
24
32
42
2
9
20
33
40
41
2
9
20
33
40
41
4
9
16
19
34
37
4
13
17
31
34
39
2
8
9
13
16
27
13
14
15
21
33
38
18
20
27
34
35
42
1
7
8
20
25
29
5
18
20
22
28
40
5
23
32
36
37
40
17
18
25
28
31
38
21
26
29
30
34
39
5
16
18
26
27
37
