"Num","Frequency"
49,26
47,25
33,24
9,22
22,22
29,21
31,21
17,20
34,20
35,20
46,20
4,19
12,19
16,19
18,19
21,19
24,19
28,19
3,18
19,18
45,18
7,17
8,17
36,17
39,17
6,16
11,16
13,16
15,16
23,16
37,16
44,16
48,16
5,15
20,15
25,15
1,14
14,14
32,14
40,14
42,14
30,13
43,13
26,12
41,12
10,11
27,11
38,11
2,10
